iter	Passed	Remaining
0	66	13195
1	73	7263
2	78	5179
3	83	4088
4	87	3429
5	92	2986
6	96	2661
7	100	2416
8	105	2243
9	109	2088
10	114	1961
11	119	1867
12	123	1779
13	127	1697
14	131	1627
15	135	1559
16	140	1508
17	144	1458
18	148	1415
19	152	1375
20	156	1336
21	160	1300
22	164	1268
23	168	1238
24	173	1212
25	177	1188
26	182	1169
27	186	1145
28	190	1125
29	195	1105
30	199	1086
31	203	1067
32	207	1049
33	210	1028
34	215	1014
35	219	1001
36	224	987
37	228	973
38	232	960
39	237	950
40	241	935
41	245	923
42	249	912
43	254	903
44	259	895
45	264	885
46	268	875
47	272	864
48	277	854
49	281	843
50	285	833
51	289	824
52	293	814
53	297	805
54	301	794
55	305	785
56	309	775
57	313	767
58	317	758
59	321	750
60	325	741
61	329	733
62	333	725
63	337	716
64	341	709
65	345	702
66	349	694
67	354	687
68	357	679
69	361	671
70	365	664
71	369	657
72	373	650
73	378	644
74	383	638
75	387	632
76	391	625
77	395	618
78	399	612
79	403	605
80	407	598
81	411	592
82	416	586
83	420	580
84	424	574
85	428	568
86	432	561
87	436	556
88	440	549
89	444	543
90	448	537
91	452	531
92	455	524
93	459	518
94	464	513
95	468	507
96	472	502
97	477	496
98	481	491
99	485	485
100	490	480
101	493	474
102	497	468
103	502	463
104	506	458
105	511	453
106	515	448
107	520	443
108	523	437
109	527	431
110	531	426
111	536	421
112	540	416
113	544	410
114	549	406
115	553	400
116	557	395
117	561	390
118	565	384
119	569	379
120	573	374
121	577	369
122	581	364
123	585	359
124	589	353
125	594	349
126	597	343
127	601	338
128	606	333
129	609	328
130	613	323
131	617	318
132	621	313
133	625	308
134	630	303
135	633	298
136	637	293
137	641	288
138	645	283
139	650	278
140	655	274
141	659	269
142	663	264
143	667	259
144	671	254
145	675	250
146	679	245
147	683	240
148	687	235
149	691	230
150	695	225
151	700	221
152	704	216
153	709	211
154	712	206
155	716	202
156	720	197
157	724	192
158	728	187
159	733	183
160	737	178
161	741	173
162	745	169
163	749	164
164	753	159
165	757	155
166	763	150
167	767	146
168	771	141
169	776	137
170	780	132
171	784	127
172	788	123
173	792	118
174	796	113
175	801	109
176	805	104
177	809	100
178	813	95
179	817	90
180	821	86
181	826	81
182	830	77
183	834	72
184	838	68
185	843	63
186	847	58
187	851	54
188	855	49
189	860	45
190	864	40
191	868	36
192	872	31
193	877	27
194	881	22
195	885	18
196	889	13
197	894	9
198	898	4
199	902	0
